Text,Tag,Tag - Color,Tag - Group,Tag - Board,Note - Title,Note - Group,Note - Board,Note - Country,Note - Account,Note - Sector,Note - Account type,Note - Status,Insights,Created,URL
Cyber essentials,Cyber Essentials + Plus,#a00064,Cyber security,Digital Infrastructure,949,AEP FE and skills,Data,England,,FE Members,Further Education College - Specialist,2. Managed: Engagement plan approved,,07/10/2021 11:28,https://dovetailapp.com/data/4IrpWNT6BIMSkdo6SEOO#v=ewAiAGgAIgA6ACIAYgAwADUAMwAwAGEAMgAwAC0ANwA3AGYANwAtADQAYQBiAGYALQA4ADMAMwBkAC0AMgAzAGIAMgBkAGEAZQAyAGMAMwA4AGYAIgB9AA
Cyber security Assessment,Cyber security review/assessment,#230078,Cyber security,Digital Infrastructure,949,AEP FE and skills,Data,England,,FE Members,Further Education College - Specialist,2. Managed: Engagement plan approved,,07/10/2021 11:28,https://dovetailapp.com/data/4IrpWNT6BIMSkdo6SEOO#v=ewAiAGgAIgA6ACIAYgBkAGEAOAA5ADEANwA5AC0ANQA0ADQAMwAtADQANgBjADYALQA4AGMANQA4AC0ANAAzADkAMwAyADIAZgA1ADkAOAA5ADgAIgB9AA
Cyber security Assessment,Review/Audit,#a00064,Capacity building,Tags,949,AEP FE and skills,Data,England,,FE Members,Further Education College - Specialist,2. Managed: Engagement plan approved,,07/10/2021 11:28,https://dovetailapp.com/data/4IrpWNT6BIMSkdo6SEOO#v=ewAiAGgAIgA6ACIAYgBkAGEAOAA5ADEANwA5AC0ANQA0ADQAMwAtADQANgBjADYALQA4AGMANQA4AC0ANAAzADkAMwAyADIAZgA1ADkAOAA5ADgAIgB9AA
10Gb connection,Connectivity (general),#230078,Network and connectivity,Digital Infrastructure,949,AEP FE and skills,Data,England,,FE Members,Further Education College - Specialist,2. Managed: Engagement plan approved,,07/10/2021 11:28,https://dovetailapp.com/data/4IrpWNT6BIMSkdo6SEOO#v=ewAiAGgAIgA6ACIAZQA4AGEAMwA3AGQANwBhAC0AMABiADIAOQAtADQANABjAGIALQA4ADAANgBmAC0ANgAwADkAZAAyADUAYQBmADQAZgA4AGUAIgB9AA
Building Digital Capability,Digital capabilities,#a00064,Digital skills and capabilities,Tags,949,AEP FE and skills,Data,England,,FE Members,Further Education College - Specialist,2. Managed: Engagement plan approved,,07/10/2021 11:28,https://dovetailapp.com/data/4IrpWNT6BIMSkdo6SEOO#v=ewAiAGgAIgA6ACIAZgBlAGMAMgA1AGYAYwA4AC0AYQBkAGYAZgAtADQAZQAxADUALQBhADIAMQA0AC0ANwA0AGQAYgA2ADEANgBkAGQAZgA3ADAAIgB9AA
Cyber security support,Cyber security support (general),#230078,Cyber security,Digital Infrastructure,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:57,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIAMwBlAGIAZABhADkANAA4AC0ANQA0ADEANQAtADQAMAAxADcALQA4ADEAZQBlAC0AYwBmAGYAMwA4ADgAMwBiADEAOAAxAGIAIgB9AA
Fuller use of Jisc subscription (anything free!) ,Maximise Jisc membership,#8cb41e,General needs,Tags,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:56,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIANAA2ADcAZgAzADcANQAwAC0ANQA5ADUAZgAtADQAYgBkAGYALQBiADMAOQA2AC0AYQA4AGIAYwA2ADgAYgAxADUAMQAzAGQAIgB9AA
Financial constraints mean that better use of Jisc Frameworks should be a priority,Cost-effective/innovative solutions,#8cb41e,General needs,Tags,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:56,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIANQBlAGQAZgAwADUANABlAC0AZgA3ADQAYQAtADQAMAA4AGIALQA5AGMANwBjAC0ANABiAGYANgBlADIANQA2ADMAZgBhADAAIgB9AA
Financial constraints mean that better use of Jisc Frameworks should be a priority,Financial/resource constraints,#8cb41e,General needs,Tags,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:56,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIANQBlAGQAZgAwADUANABlAC0AZgA3ADQAYQAtADQAMAA4AGIALQA5AGMANwBjAC0ANABiAGYANgBlADIANQA2ADMAZgBhADAAIgB9AA
Secondary connection (finance permitting) ,Financial/resource constraints,#8cb41e,General needs,Tags,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:56,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIAZAA4AGMANAA3ADEAZQAxAC0AOABlADIAZAAtADQAOQA5AGQALQA4ADMANwA3AC0ANgA5ADYANwA0AGUAOAA1AGYAOQBjADAAIgB9AA
Secondary connection (finance permitting) ,Intersite connectivity,#230078,Network and connectivity,Digital Infrastructure,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:56,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIAZAA4AGMANAA3ADEAZQAxAC0AOABlADIAZAAtADQAOQA5AGQALQA4ADMANwA3AC0ANgA5ADYANwA0AGUAOAA1AGYAOQBjADAAIgB9AA
Secondary connection (finance permitting) ,Connectivity (general),#230078,Network and connectivity,Digital Infrastructure,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:56,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIAZAA4AGMANAA3ADEAZQAxAC0AOABlADIAZAAtADQAOQA5AGQALQA4ADMANwA3AC0ANgA5ADYANwA0AGUAOAA1AGYAOQBjADAAIgB9AA
Possible Cloud support,Cloud support,#230078,Cloud/T&I,Digital Infrastructure,4381,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,05/10/2021 14:57,https://dovetailapp.com/data/1luGpvexKH7TFH8SOyQLp#v=ewAiAGgAIgA6ACIAZgA5ADQAOQBhAGQAYgAwAC0AZAA3ADcANQAtADQANgA5ADQALQBiADAAOAA2AC0AYwA2AGIANwA5ADAAOAA3AGQAYgBmADgAIgB9AA
Support the college in exploring connectivity with an intersite connection for a new building,Intersite connectivity,#230078,Network and connectivity,Digital Infrastructure,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:58,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIAMQA0AGEAMABlADUAOQA0AC0AMgA4ADIAOQAtADQAOQAzADAALQA4ADEANQBjAC0AYgA3AGUAMAA2ADUANQBhADgANABiADAAIgB9AA
Support the college in exploring connectivity with an intersite connection for a new building,Campus redevelopment,#230078,General IT,Digital Infrastructure,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:58,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIAMQA0AGEAMABlADUAOQA0AC0AMgA4ADIAOQAtADQAOQAzADAALQA4ADEANQBjAC0AYgA3AGUAMAA2ADUANQBhADgANABiADAAIgB9AA
Support to help with cyber security protection and managed services - ensure SIEM is up and running,Cyber security support (general),#230078,Cyber security,Digital Infrastructure,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:58,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIAMgA1ADYAOQAxADAAYQA4AC0AOQA0AGMAMQAtADQANAA0ADQALQBhADIANgA0AC0ANgA1ADkAZQBiAGIAYQBkADYAYgA2AGEAIgB9AA
Support to help with cyber security protection and managed services - ensure SIEM is up and running,Managed SIEM,#230078,Cyber security,Digital Infrastructure,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:58,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIAMgA1ADYAOQAxADAAYQA4AC0AOQA0AGMAMQAtADQANAA0ADQALQBhADIANgA0AC0ANgA1ADkAZQBiAGIAYQBkADYAYgA2AGEAIgB9AA
Support the library team with a training session for the digital resources/e-books to curriculum to drive up enegagement,Consultancy/retained expertise,#a00064,Capacity building,Tags,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:59,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIANQAxADMAMAA1ADMAOAAxAC0AMAA5ADEAOQAtADQAZQA1AGMALQA4AGEAMQAxAC0AYQBjAGMAZgAxADMANAAzADIAMgA2ADAAIgB9AA
Support the library team with a training session for the digital resources/e-books to curriculum to drive up enegagement,e-Books for FE,#a05000,Digital resources,Learning and teaching,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:59,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIANQAxADMAMAA1ADMAOAAxAC0AMAA5ADEAOQAtADQAZQA1AGMALQA4AGEAMQAxAC0AYQBjAGMAZgAxADMANAAzADIAMgA2ADAAIgB9AA
Support the library team with a training session for the digital resources/e-books to curriculum to drive up enegagement,DLR usage,#a05000,Digital resources,Learning and teaching,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:59,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIANQAxADMAMAA1ADMAOAAxAC0AMAA5ADEAOQAtADQAZQA1AGMALQA4AGEAMQAxAC0AYQBjAGMAZgAxADMANAAzADIAMgA2ADAAIgB9AA
Support the library team with a training session for the digital resources/e-books to curriculum to drive up enegagement,Digital resources (general),#a05000,Digital resources,Learning and teaching,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:59,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIANQAxADMAMAA1ADMAOAAxAC0AMAA5ADEAOQAtADQAZQA1AGMALQA4AGEAMQAxAC0AYQBjAGMAZgAxADMANAAzADIAMgA2ADAAIgB9AA
remind college of CE and CE+ service package that is now available - 3yr package,Cyber Essentials + Plus,#a00064,Cyber security,Digital Infrastructure,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:59,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIANgBiAGIAMwBmADQAZQA4AC0AMwBhADgAZgAtADQAZgAxAGIALQBhADIAMwAyAC0AOQAwADAAMgA1ADMANAA4AGEAMwBkADEAIgB9AA
Need to ensure that they make the most of Jisc services,Maximise Jisc membership,#8cb41e,General needs,Tags,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:57,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIANwBlAGMAYwA1AGEAZgAxAC0AMgAxADAAMwAtADQAOABkAGQALQA5ADkANwA3AC0AMQA1ADQAMQA5AGIAMwBmAGMAYgAwADUAIgB9AA
Any help with cost saving - one priority is making every pound count,Cost-effective/innovative solutions,#8cb41e,General needs,Tags,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:57,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIAOAAyADUAYwAyADkAZgA2AC0AZQA2ADgAZAAtADQAOQA3AGUALQA5ADIAYgBkAC0AOAA1AGQAZABmAGIAMABkADcANwA3ADEAIgB9AA
Budget implications and financial constraints,Cost-effective/innovative solutions,#8cb41e,General needs,Tags,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:59,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIAOQA1ADUANwBkADAAMQA4AC0AOAA1AGYANAAtADQANwAzADYALQA5AGMAMQBhAC0ANQAxADEAZAAwADYAMgBiAGUANQBlADgAIgB9AA
Support the college in the role of Digital capabilities to gain a renewal of the service,Digital capabilities,#a00064,Digital skills and capabilities,Tags,755,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,22/09/2021 10:59,https://dovetailapp.com/data/3Z3TVxA3VxhuUlKUENER3#v=ewAiAGgAIgA6ACIAYwA2AGUAMgA2ADUAZQBkAC0ANQBiADYANAAtADQAMwA4AGYALQBiADIAOQA2AC0AYwAyADUAZABmAGQAYwAwADQAMgBlADIAIgB9AA
Blended learning development ,Digital pedagogy,#ff6e00,Digital pedogogy,Learning and teaching,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:11,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIANQAwADYAOQA4ADEANAAzAC0AZQBjADIAMwAtADQAMQBjADQALQBiAGEAYwA1AC0AYQA4ADYAMQBjAGEANwAzAGYANgBhADQAIgB9AA
Support with Cloud tools utilisation,Cloud support,#230078,Cloud/T&I,Digital Infrastructure,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:11,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIANwBkADIAMgAxADAAYQA4AC0AOQAxADMANwAtADQAMABkADEALQBiADgANwA1AC0AYwBiAGIAZABkADgAMQAyADgAOAA5ADIAIgB9AA
BDC (and DEI),Digital capabilities,#a00064,Digital skills and capabilities,Tags,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:12,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIAOAA2AGIANQAzADEAMgA4AC0AMAA4ADcANgAtADQAZQBlAGYALQBiADMAOQBmAC0AZgA5ADUANwBhAGIAZgA4AGQAOAA3ADEAIgB9AA
BDC (and DEI),BDC service,#a00064,Digital skills and capabilities,Tags,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:12,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIAOAA2AGIANQAzADEAMgA4AC0AMAA4ADcANgAtADQAZQBlAGYALQBiADMAOQBmAC0AZgA5ADUANwBhAGIAZgA4AGQAOAA3ADEAIgB9AA
BDC (and DEI),Learner experience,#ff6e00,Digital pedogogy,Learning and teaching,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:12,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIAOAA2AGIANQAzADEAMgA4AC0AMAA4ADcANgAtADQAZQBlAGYALQBiADMAOQBmAC0AZgA5ADUANwBhAGIAZgA4AGQAOAA3ADEAIgB9AA
CE and CE Plus Cyber support ,Cyber security support (general),#230078,Cyber security,Digital Infrastructure,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:10,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIAOQBkAGYAMQA1ADMAYwBhAC0AOQA0ADkAOQAtADQAZABkAGYALQBiAGEAZgA2AC0AYwA3ADEAMgBkADQANwAxADQAMAAyADUAIgB9AA
CE and CE Plus Cyber support ,Cyber Essentials + Plus,#a00064,Cyber security,Digital Infrastructure,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:10,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIAOQBkAGYAMQA1ADMAYwBhAC0AOQA0ADkAOQAtADQAZABkAGYALQBiAGEAZgA2AC0AYwA3ADEAMgBkADQANwAxADQAMAAyADUAIgB9AA
MFA for students support,Trust and identity,#230078,Cloud/T&I,Digital Infrastructure,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:12,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIAYgBiADgAOABiADAAMQBmAC0AMAA4ADUAZAAtADQAYwAxADIALQBiADQAMQAzAC0AOQA3ADYAMAA5ADcANAAxADgANgBjADQAIgB9AA
Classroom technologies development,Virtual classroom,#ff6e00,EdTech,Learning and teaching,237,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,06/10/2021 16:11,https://dovetailapp.com/data/7aQBb6lZ2lMAY1izRfq37#v=ewAiAGgAIgA6ACIAZAAxADUANgBlADgAOQA0AC0ANQBiADMAMgAtADQAOAA5ADEALQA5ADYANQAwAC0AZAAzAGIAYgBkAGYAMQA1AGIAYQA2ADkAIgB9AA
IdP - Liberate has been decommissioned so have they switched back to Shib?,Trust and identity,#230078,Cloud/T&I,Digital Infrastructure,773,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:58,https://dovetailapp.com/data/dmzYLfq02E8g7S1kqA0XI#v=ewAiAGgAIgA6ACIAMwA2ADUANQBlAGEAYQA0AC0AOQA0AGMAZAAtADQAZAA2ADQALQA4ADEAYwA2AC0ANwAxAGEAZQBmADgAMAAzADAAYQA0ADAAIgB9AA
Cyber Security support,Cyber security support (general),#230078,Cyber security,Digital Infrastructure,773,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:58,https://dovetailapp.com/data/dmzYLfq02E8g7S1kqA0XI#v=ewAiAGgAIgA6ACIAMwBjADYAMgA1ADkAZQA5AC0ANAAyAGIAOAAtADQAMwA4ADEALQBhADQAOAAxAC0AOQAwADUANgAxADEAZgBkADgAZQBiADEAIgB9AA
Library resources,Digital resources (general),#a05000,Digital resources,Learning and teaching,773,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:59,https://dovetailapp.com/data/dmzYLfq02E8g7S1kqA0XI#v=ewAiAGgAIgA6ACIAYgA1AGUAOAAyADQAZABhAC0AMwA0AGEAYQAtADQAMwAyAGIALQBhAGYAOABlAC0AYgA2ADQAYQBhADkAYwBlADQANgBjAGUAIgB9AA
Connectivity (eSports) Replacement ,Connectivity (general),#230078,Network and connectivity,Digital Infrastructure,773,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:58,https://dovetailapp.com/data/dmzYLfq02E8g7S1kqA0XI#v=ewAiAGgAIgA6ACIAYwBkADQANQAyADMANwA4AC0ANQAyAGEAOQAtADQANgA0ADgALQBiAGQAMgBlAC0AMQBmADUAZQBmAGIAZQAzAGQAYQBmAGEAIgB9AA
Infrastructure review - no clear understanding of assets across merged college yet ,Review/Audit,#a00064,Capacity building,Tags,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:06,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIANAA0ADcAMQAxAGIANABiAC0AZAA1AGIAMQAtADQAZgAwADkALQBiADIAZgBkAC0AYgA5AGQAMQBlAGIAMwBkAGIAZQBlAGMAIgB9AA
Student digital identity verification service for online enrollment,Trust and identity,#230078,Cloud/T&I,Digital Infrastructure,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:06,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIANABlADIAMwBmADgAYwBhAC0AMgBhADEANQAtADQAMwBlAGYALQA4AGEAZAA0AC0AMQAzAGMANgBlAGQANQAwADYANgA1ADAAIgB9AA
Resources to support T Levels,Digital resources (general),#a05000,Digital resources,Learning and teaching,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:06,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIAOABlAGYAYQBjAGMAMQAzAC0AMABmAGUANgAtADQAZAA3AGEALQBhADAAMwA2AC0AYwBmADQAOAA2ADgANgA4ADgAYgBmADgAIgB9AA
Resources to support T Levels,Curriculum resources,#a05000,Digital resources,Learning and teaching,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:06,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIAOABlAGYAYQBjAGMAMQAzAC0AMABmAGUANgAtADQAZAA3AGEALQBhADAAMwA2AC0AYwBmADQAOAA2ADgANgA4ADgAYgBmADgAIgB9AA
Cyber support particularly towrds ESFA,Cyber security support (general),#230078,Cyber security,Digital Infrastructure,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:06,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIAYgA5AGIAMAA3ADcAMgAzAC0ANQAyAGIAMAAtADQANQAyADAALQBhADEANAAzAC0AZgAwAGQANgBjADQAYQA3AGUAZQA3ADQAIgB9AA
Further cloud support looking at Teams and telephony platforms,Systems migration,#230078,General IT,Digital Infrastructure,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:05,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIAYwBhAGIAZAA0ADgAZQBhAC0AMQBiADYAMwAtADQANQA2ADIALQA4AGEAZQBjAC0AYwAwAGUAZgAzAGUAZABjADAANAAxAGQAIgB9AA
Further cloud support looking at Teams and telephony platforms,Telephony,#230078,Cloud/T&I,Digital Infrastructure,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:05,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIAYwBhAGIAZAA0ADgAZQBhAC0AMQBiADYAMwAtADQANQA2ADIALQA4AGEAZQBjAC0AYwAwAGUAZgAzAGUAZABjADAANAAxAGQAIgB9AA
Further cloud support looking at Teams and telephony platforms,Cloud support,#230078,Cloud/T&I,Digital Infrastructure,964,AEP FE and skills,Data,England,,FE Members,Further Education College - General,2. Managed: Engagement plan approved,,06/10/2021 15:05,https://dovetailapp.com/data/g29ZBqR5gFw6SC15p9Or9#v=ewAiAGgAIgA6ACIAYwBhAGIAZAA0ADgAZQBhAC0AMQBiADYAMwAtADQANQA2ADIALQA4AGEAZQBjAC0AYwAwAGUAZgAzAGUAZABjADAANAAxAGQAIgB9AA
Managed Firewall service ? the member is interested in this service when it is launched.,Cyber security support (general),#230078,Cyber security,Digital Infrastructure,798,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,15/09/2021 16:55,https://dovetailapp.com/data/hWwkqPrPdHrVhmpmsHAxK#v=ewAiAGgAIgA6ACIAMQAyADEAOQBiADAAZAA4AC0AZABmADUAYgAtADQAYgBlADIALQBiADgANABlAC0ANgAyAGUAZQAwADEANAA0ADIAYgBiADAAIgB9AA
"Cloud consultancy ? the college may look at purchasing cloud in 2022-23 (OCRE) so are starting to think about options/costs etc, they have moved to Microsoft A5 licenses, so may require support in maximizing value from these.",Cloud support,#230078,Cloud/T&I,Digital Infrastructure,798,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,15/09/2021 16:56,https://dovetailapp.com/data/hWwkqPrPdHrVhmpmsHAxK#v=ewAiAGgAIgA6ACIAMgA4AGMAZAA3ADcAOAA1AC0AOQA4ADMAMwAtADQAYgBiAGYALQA4ADQANAA4AC0AYQA0ADYAZAA0ADAAMwBkADAANABmAGUAIgB9AA
"Cloud consultancy ? the college may look at purchasing cloud in 2022-23 (OCRE) so are starting to think about options/costs etc, they have moved to Microsoft A5 licenses, so may require support in maximizing value from these.",Consultancy/retained expertise,#a00064,Capacity building,Tags,798,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,15/09/2021 16:56,https://dovetailapp.com/data/hWwkqPrPdHrVhmpmsHAxK#v=ewAiAGgAIgA6ACIAMgA4AGMAZAA3ADcAOAA1AC0AOQA4ADMAMwAtADQAYgBiAGYALQA4ADQANAA4AC0AYQA0ADYAZAA0ADAAMwBkADAANABmAGUAIgB9AA
"The college has no IdP, therefore discuss options and implications with the college to provide an appropriate solution.",Trust and identity,#230078,Cloud/T&I,Digital Infrastructure,798,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,15/09/2021 16:56,https://dovetailapp.com/data/hWwkqPrPdHrVhmpmsHAxK#v=ewAiAGgAIgA6ACIAOAA4ADgANgBmADgANAA4AC0AMAA1ADcAZAAtADQANwBhAGUALQA5AGIANwBmAC0AZQBkADQAMAA4ADYAZgAwAGQAOQA5AGUAIgB9AA
Cyber Essentials plus ? likely November 2021 assuming CE basic is achieved in September 2021.,Cyber Essentials + Plus,#a00064,Cyber security,Digital Infrastructure,798,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,15/09/2021 16:54,https://dovetailapp.com/data/hWwkqPrPdHrVhmpmsHAxK#v=ewAiAGgAIgA6ACIAZgBhADQAYwA0AGUANwAwAC0AZgBlAGMAZgAtADQAYQAwAGYALQA4ADkAYgBmAC0ANQAzAGYAZgA1ADgAMgA5ADAAMwBmADcAIgB9AA
Expanding access to digital resources,Access to resources,#a05000,Digital resources,Learning and teaching,791,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,16/09/2021 12:04,https://dovetailapp.com/data/iRDOKTaXQAcgxpobZlRV4#v=ewAiAGgAIgA6ACIAMgAyAGEAZQA1ADMAYQBiAC0AMwBjADAAOQAtADQAYgA1ADQALQBhAGYAMQBiAC0ANQA4AGYAMAA1ADAAMgAxADgANwA2ADgAIgB9AA
Expanding access to digital resources,Digital resources (general),#a05000,Digital resources,Learning and teaching,791,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,16/09/2021 12:04,https://dovetailapp.com/data/iRDOKTaXQAcgxpobZlRV4#v=ewAiAGgAIgA6ACIAMgAyAGEAZQA1ADMAYQBiAC0AMwBjADAAOQAtADQAYgA1ADQALQBhAGYAMQBiAC0ANQA4AGYAMAA1ADAAMgAxADgANwA2ADgAIgB9AA
Pen testing,Pen testing,#230078,Cyber security,Digital Infrastructure,791,AEP FE and skills,Data,England,,FE Members,Sixth Form College,2. Managed: Engagement plan approved,,16/09/2021 12:04,https://dovetailapp.com/data/iRDOKTaXQAcgxpobZlRV4#v=ewAiAGgAIgA6ACIANAA3ADUAMAA2ADYANwBmAC0AOQA1AGMAYwAtADQAOAA5ADYALQBiADgAMAA3AC0AYwAzAGQANABjADYAOQA3ADAANQAzAGYAIgB9AA
